year,aqi
1981,0.4444444444444444
1983,2.1666666666666665
1984,0.5737704918032787
1986,2.2903225806451615
1987,8.67231638418079
1988,20.586956521739133
1989,24.792500370535052
1990,21.12135319677219
1991,13.910984848484848
1992,17.926959665144597
1993,15.636995691343516
1994,25.199829798282977
1995,26.02163740245262
1996,21.818843193843193
1997,19.231374584717607
1998,31.035015926997943
1999,35.575362318840575
2000,35.253127923500294
2001,35.87096735764369
2002,34.370484016365026
2003,34.070545480066485
2004,30.33136307801809
2005,33.07835186197679
2006,44.79808441558441
2007,38.644910080844745
2008,39.569373996279275
2009,44.850227591036415
2010,40.80887031878676
2011,49.66950773199742
2012,47.30762711864407
2013,39.17560294245998
2014,37.67516395433568
2015,36.421930919683724
2016,33.09862899090492
2017,33.495352972408824
2018,33.922614734299515
2019,34.563692580082716
2020,33.33337681072708
2021,35.81338154392191
2022,37.66860614026219
2023,47.15976745308052
